miny,maxy,center,trend,amplitude
2018.09.11 03:15:00,2018.09.11 03:50:00,2018.09.11 03:35:00,-3.3301403861032336e-05,0.0008981345525012961
2018.09.11 03:20:00,2018.09.11 03:55:00,2018.09.11 03:40:00,-2.908939102043099e-05,0.0006614529420023152
2018.09.11 04:10:00,2018.09.11 04:50:00,2018.09.11 04:20:00,3.215291549904337e-05,0.0006874274206210485
2018.09.11 04:15:00,2018.09.11 05:35:00,2018.09.11 05:00:00,3.4615459575571216e-05,0.0007007239127696808
2018.09.11 04:20:00,2018.09.11 05:50:00,2018.09.11 05:20:00,3.8547072047738105e-05,0.0005131129728884908
2018.09.11 04:25:00,2018.09.11 05:30:00,2018.09.11 05:00:00,3.8500848659563774e-05,0.0008504105909363282
2018.09.11 04:30:00,2018.09.11 05:30:00,2018.09.11 05:00:00,4.032002789026498e-05,0.0008949599173235938
2018.09.11 05:30:00,2018.09.11 06:45:00,2018.09.11 06:25:00,5.4986779870802856e-05,0.0007845917534354997
2018.09.11 05:35:00,2018.09.11 06:55:00,2018.09.11 06:35:00,5.5044156955667935e-05,0.000666196416335899
2018.09.11 05:40:00,2018.09.11 07:00:00,2018.09.11 06:40:00,5.27978340183152e-05,0.0006245726663004496
2018.09.11 07:05:00,2018.09.11 07:55:00,2018.09.11 07:35:00,6.362449740699751e-05,0.000710310149869414
2018.09.11 07:10:00,2018.09.11 08:05:00,2018.09.11 07:40:00,6.146313995158285e-05,0.0015217285241041212
2018.09.11 07:15:00,2018.09.11 08:05:00,2018.09.11 07:45:00,6.890950944585731e-05,0.0011221665253130406
2018.09.11 07:45:00,2018.09.11 08:40:00,2018.09.11 08:25:00,4.799408261978238e-05,0.0008256793480529077
2018.09.11 09:20:00,2018.09.11 10:35:00,2018.09.11 10:15:00,4.55973500395167e-05,0.001102881794498792
2018.09.11 09:40:00,2018.09.11 10:55:00,2018.09.11 10:40:00,-8.511099081496527e-06,0.0010191724433695009
2018.09.11 09:50:00,2018.09.11 11:10:00,2018.09.11 10:50:00,-1.6922261746467862e-05,0.0011933358512929931
2018.09.11 10:30:00,2018.09.11 11:10:00,2018.09.11 10:50:00,-0.00011026650023540349,0.00033883715304730143
2018.09.11 10:35:00,2018.09.11 11:20:00,2018.09.11 11:00:00,-0.00011921276243050864,0.000606377630172263
2018.09.11 10:45:00,2018.09.11 11:10:00,2018.09.11 10:50:00,-0.00012699779890457732,0.0008805616355037375
2018.09.11 10:50:00,2018.09.11 11:20:00,2018.09.11 11:00:00,-0.00012706191823275912,0.0010116618757683032
2018.09.11 10:55:00,2018.09.11 11:40:00,2018.09.11 11:20:00,-0.000131548323152655,0.001339490075069652
2018.09.11 11:05:00,2018.09.11 12:00:00,2018.09.11 11:35:00,-0.00013629967559390132,0.00155557588043941
2018.09.11 13:00:00,2018.09.11 14:15:00,2018.09.11 13:55:00,-5.184610452680287e-05,0.0011005624493332768
2018.09.11 13:15:00,2018.09.11 14:40:00,2018.09.11 14:15:00,-4.2738386071696635e-05,0.001216340511631364
2018.09.11 14:05:00,2018.09.11 14:45:00,2018.09.11 14:30:00,-1.434388372694228e-05,0.002241865992807685
2018.09.11 15:10:00,2018.09.11 16:40:00,2018.09.11 16:05:00,2.952340971499e-05,0.001426664253357899
2018.09.11 15:15:00,2018.09.11 16:25:00,2018.09.11 15:50:00,1.924940758859349e-05,0.001993911324433779
2018.09.11 15:20:00,2018.09.11 16:30:00,2018.09.11 16:10:00,1.9887024355327174e-05,0.0013586577042712035
2018.09.11 15:25:00,2018.09.11 16:35:00,2018.09.11 16:00:00,2.2251586603426486e-05,0.0013863074288732618
2018.09.11 16:20:00,2018.09.11 17:20:00,2018.09.11 17:05:00,2.0562527429593954e-05,0.0021936862584857365
2018.09.11 16:25:00,2018.09.11 17:30:00,2018.09.11 17:15:00,2.3686490582031114e-05,0.002156965833053607
2018.09.11 16:35:00,2018.09.11 17:45:00,2018.09.11 17:30:00,2.525337821415692e-05,0.0023358878801600755
2018.09.11 16:40:00,2018.09.11 17:50:00,2018.09.11 17:35:00,2.3341058872171324e-05,0.0020582189188714808
2018.09.11 16:45:00,2018.09.11 18:05:00,2018.09.11 17:45:00,1.7338108220756672e-05,0.001627169235673333
2018.09.11 16:55:00,2018.09.11 18:25:00,2018.09.11 18:05:00,1.1178944761422144e-05,0.0015467537948002164
2018.09.11 17:40:00,2018.09.11 18:45:00,2018.09.11 18:30:00,2.5482481280224052e-05,0.0009647799248917744
2018.09.11 17:50:00,2018.09.11 19:00:00,2018.09.11 18:35:00,3.0745141781340247e-06,0.001930450360213493
2018.09.11 19:45:00,2018.09.11 20:45:00,2018.09.11 20:30:00,-6.651481882915139e-06,0.0007655603124906809
2018.09.11 20:10:00,2018.09.11 21:20:00,2018.09.11 21:05:00,-1.4962114523365836e-05,0.000743716071324955
2018.09.11 21:20:00,2018.09.11 21:55:00,2018.09.11 21:35:00,6.0211973068230515e-05,0.0005177997492524599
2018.09.11 21:25:00,2018.09.11 22:15:00,2018.09.11 21:55:00,5.810049770763368e-05,0.0009763224152525273
2018.09.11 22:55:00,2018.09.12 00:05:00,2018.09.11 23:50:00,4.176993314866765e-05,0.001341131554408898
2018.09.11 23:00:00,2018.09.12 00:20:00,2018.09.12 00:00:00,3.9766634393363e-05,0.0016361337907673914
2018.09.12 00:30:00,2018.09.12 01:45:00,2018.09.12 01:15:00,-1.3523756882110112e-05,0.001684234231837706
2018.09.12 00:35:00,2018.09.12 01:55:00,2018.09.12 01:25:00,-1.6042859175595273e-05,0.0014130731824689119
2018.09.12 00:40:00,2018.09.12 02:00:00,2018.09.12 01:25:00,-1.7480876047104026e-05,0.0010904784299071732
2018.09.12 00:45:00,2018.09.12 02:20:00,2018.09.12 01:45:00,-2.139182183268834e-05,0.0009048552420758264
2018.09.12 00:50:00,2018.09.12 02:30:00,2018.09.12 01:55:00,-2.467753877049148e-05,0.0005689883755489398
2018.09.12 02:35:00,2018.09.12 03:15:00,2018.09.12 02:50:00,-2.5788449693435834e-05,0.0009523752786602328
2018.09.12 04:40:00,2018.09.12 06:10:00,2018.09.12 05:40:00,-1.765087605960013e-05,0.000578174427036549
2018.09.12 05:55:00,2018.09.12 07:25:00,2018.09.12 07:05:00,-1.7873853708319206e-05,0.0007907526619583653
2018.09.12 05:55:00,2018.09.12 07:35:00,2018.09.12 07:15:00,-1.7023749214845504e-05,0.0005184208476471001
2018.09.12 06:25:00,2018.09.12 07:45:00,2018.09.12 07:20:00,-1.4279309390966006e-05,0.0006923405939290126
2018.09.12 07:05:00,2018.09.12 07:40:00,2018.09.12 07:25:00,9.185690376046362e-06,0.0009104190094543855
2018.09.12 07:10:00,2018.09.12 07:45:00,2018.09.12 07:30:00,4.404598350043302e-06,0.0011009936976753938
2018.09.12 08:05:00,2018.09.12 08:55:00,2018.09.12 08:45:00,-1.7847191924176886e-05,0.0012280309493642207
2018.09.12 08:10:00,2018.09.12 09:10:00,2018.09.12 08:55:00,-7.582434665338345e-06,0.0020667584671089896
2018.09.12 08:45:00,2018.09.12 09:20:00,2018.09.12 09:05:00,2.6399445014305333e-05,0.0024743980826806315
2018.09.12 08:50:00,2018.09.12 09:30:00,2018.09.12 09:15:00,2.940044722619465e-05,0.0020856610135710665
2018.09.12 08:55:00,2018.09.12 09:35:00,2018.09.12 09:20:00,3.3909402840692895e-05,0.002297728466720772
2018.09.12 09:35:00,2018.09.12 10:50:00,2018.09.12 10:25:00,6.035992187870144e-06,0.0033302480072296666
2018.09.12 09:40:00,2018.09.12 11:05:00,2018.09.12 10:40:00,8.330307892815532e-06,0.002372113643580979
2018.09.12 10:40:00,2018.09.12 11:15:00,2018.09.12 11:00:00,-3.2669587254447257e-06,0.0025202658076235946
2018.09.12 11:25:00,2018.09.12 12:45:00,2018.09.12 12:20:00,-1.849876863379308e-05,0.002851475442542373
2018.09.12 11:30:00,2018.09.12 12:50:00,2018.09.12 12:25:00,-2.8441120777954865e-05,0.003372074702160161
2018.09.12 11:30:00,2018.09.12 13:50:00,2018.09.12 13:10:00,1.5198044374245869e-06,0.002433047553124088
2018.09.12 11:35:00,2018.09.12 12:55:00,2018.09.12 12:25:00,-3.1311311967470946e-05,0.002814051845414709
2018.09.12 11:45:00,2018.09.12 13:10:00,2018.09.12 12:35:00,-4.39669846079e-05,0.00280368603419442
2018.09.12 13:50:00,2018.09.12 16:10:00,2018.09.12 15:30:00,-3.883960832463551e-05,0.0010320497266212
2018.09.12 13:55:00,2018.09.12 15:05:00,2018.09.12 14:35:00,3.975396166315486e-05,0.0021192189217374416
2018.09.12 14:00:00,2018.09.12 15:10:00,2018.09.12 14:45:00,3.936452280083619e-05,0.002562197335402126
2018.09.12 14:15:00,2018.09.12 15:35:00,2018.09.12 15:10:00,3.8679786922748244e-05,0.0019538947793609385
2018.09.12 14:20:00,2018.09.12 15:45:00,2018.09.12 15:20:00,4.2857284845001935e-05,0.0015939366936011535
2018.09.12 14:25:00,2018.09.12 15:55:00,2018.09.12 15:30:00,4.644397517752526e-05,0.0011485503441257758
2018.09.12 15:10:00,2018.09.12 15:50:00,2018.09.12 15:35:00,0.00010826008835284991,0.002000027764130543
2018.09.12 15:55:00,2018.09.12 18:00:00,2018.09.12 17:25:00,0.00011445391325592228,0.0014037690889214564
2018.09.12 16:05:00,2018.09.12 17:05:00,2018.09.12 16:50:00,0.00014289992783901462,0.002383779811560666
2018.09.12 16:05:00,2018.09.12 17:25:00,2018.09.12 17:00:00,0.00015481906386808877,0.0020633772101928977
2018.09.12 16:15:00,2018.09.12 17:15:00,2018.09.12 17:00:00,0.00016313291787957128,0.002592780523047495
2018.09.12 16:30:00,2018.09.12 17:45:00,2018.09.12 17:20:00,9.266296557498478e-05,0.002693833886823337
2018.09.12 16:35:00,2018.09.12 17:50:00,2018.09.12 17:15:00,8.809362504756701e-05,0.002216844306144609
2018.09.12 16:40:00,2018.09.12 17:55:00,2018.09.12 17:20:00,8.236556328887392e-05,0.0017917021698183727
2018.09.12 16:45:00,2018.09.12 18:25:00,2018.09.12 17:55:00,8.073964843525421e-05,0.0008898904172338828
2018.09.12 17:20:00,2018.09.12 18:30:00,2018.09.12 18:10:00,6.519405897056266e-05,0.0018564671306350886
2018.09.12 17:25:00,2018.09.12 18:35:00,2018.09.12 18:15:00,5.7191670579191054e-05,0.0019519653186162464
2018.09.12 17:30:00,2018.09.12 18:50:00,2018.09.12 18:30:00,5.155795049621125e-05,0.0025622824302155853
2018.09.12 17:35:00,2018.09.12 18:55:00,2018.09.12 18:35:00,4.447505738207659e-05,0.002739666911616457
2018.09.12 17:40:00,2018.09.12 19:05:00,2018.09.12 18:45:00,2.5470812996618227e-05,0.001713142505676133
2018.09.12 17:55:00,2018.09.12 19:25:00,2018.09.12 19:05:00,1.8916049189407847e-05,0.0027148974382304306
2018.09.12 19:00:00,2018.09.12 20:10:00,2018.09.12 19:45:00,1.5800165348873432e-05,0.0029830342193378962
2018.09.12 19:05:00,2018.09.12 20:20:00,2018.09.12 19:55:00,1.6225429139080098e-05,0.002569331318544848
2018.09.12 19:10:00,2018.09.12 20:40:00,2018.09.12 20:10:00,2.0902490179250974e-05,0.0016506496679309735
2018.09.12 19:15:00,2018.09.12 21:10:00,2018.09.12 20:35:00,2.3917035700585088e-05,0.001093517243554483
2018.09.12 19:40:00,2018.09.12 20:55:00,2018.09.12 20:35:00,2.379933486526289e-05,0.0010766221894095457
2018.09.12 19:50:00,2018.09.12 21:15:00,2018.09.12 20:55:00,2.078043138540222e-05,0.0012788291118376038
2018.09.12 21:10:00,2018.09.12 21:45:00,2018.09.12 21:15:00,-2.2918175375621906e-05,0.0017149301575287675
2018.09.12 21:15:00,2018.09.12 22:00:00,2018.09.12 21:30:00,-2.154517158652772e-05,0.001827879267219397
2018.09.12 21:20:00,2018.09.12 22:10:00,2018.09.12 21:40:00,-1.9230026903395832e-05,0.0018943189993641824
2018.09.12 21:25:00,2018.09.12 22:20:00,2018.09.12 21:50:00,-1.852679089179379e-05,0.0020698797387677602
2018.09.12 21:30:00,2018.09.12 22:35:00,2018.09.12 22:10:00,-1.9481086662084147e-05,0.002264849652675393
2018.09.12 21:50:00,2018.09.12 23:05:00,2018.09.12 22:40:00,-5.628191234996256e-06,0.0014650255619290445
2018.09.12 22:50:00,2018.09.13 00:20:00,2018.09.12 23:55:00,6.015966087759335e-06,0.0006922258026350926
2018.09.12 23:00:00,2018.09.13 00:35:00,2018.09.13 00:05:00,6.276404478588015e-06,0.0007702511437357311
2018.09.13 03:15:00,2018.09.13 04:35:00,2018.09.13 04:10:00,1.622002324235866e-05,0.00047585111276268136
2018.09.13 03:30:00,2018.09.13 04:50:00,2018.09.13 04:30:00,1.3754258213392898e-05,0.0005921575798328544
2018.09.13 03:35:00,2018.09.13 04:55:00,2018.09.13 04:35:00,1.3492157383823793e-05,0.000635313526564321
2018.09.13 03:40:00,2018.09.13 05:00:00,2018.09.13 04:40:00,1.0752842346106796e-05,0.0005402702899723902
2018.09.13 03:50:00,2018.09.13 05:10:00,2018.09.13 04:50:00,9.2427481317765e-06,0.0007390964799924355
2018.09.13 04:05:00,2018.09.13 05:30:00,2018.09.13 05:10:00,7.50369071703281e-06,0.00068922152483244
2018.09.13 04:15:00,2018.09.13 05:50:00,2018.09.13 05:30:00,4.264460234371158e-06,0.0004651771889319513
2018.09.13 06:15:00,2018.09.13 07:30:00,2018.09.13 07:10:00,-3.009140082869403e-05,0.0005523415780765759
2018.09.13 06:25:00,2018.09.13 07:45:00,2018.09.13 07:25:00,-3.7251055322366615e-05,0.0008347047561830501
2018.09.13 07:25:00,2018.09.13 08:05:00,2018.09.13 07:50:00,-1.832419771640467e-05,0.00044480734026296914
2018.09.13 07:30:00,2018.09.13 08:25:00,2018.09.13 08:00:00,-2.388440841111135e-05,0.0012841925460325345
2018.09.13 07:35:00,2018.09.13 08:30:00,2018.09.13 08:05:00,-2.449860081039504e-05,0.0015618758196910714
2018.09.13 07:40:00,2018.09.13 08:35:00,2018.09.13 08:10:00,-1.991575704884393e-05,0.0015824195034114257
2018.09.13 08:55:00,2018.09.13 10:00:00,2018.09.13 09:45:00,-1.7362657231040533e-05,0.0011458404356413693
2018.09.13 09:00:00,2018.09.13 10:15:00,2018.09.13 09:55:00,-1.782015279988295e-05,0.0012553760332808218
2018.09.13 12:00:00,2018.09.13 12:55:00,2018.09.13 12:40:00,2.007924490422422e-06,0.001278004501914206
2018.09.13 12:25:00,2018.09.13 13:05:00,2018.09.13 12:50:00,4.270840205932288e-05,0.000915111489704698
2018.09.13 13:50:00,2018.09.13 14:25:00,2018.09.13 14:10:00,0.00016708687109416134,0.0037053459674698274
2018.09.13 13:55:00,2018.09.13 14:35:00,2018.09.13 14:20:00,0.00018223445082335483,0.003782049306632562
2018.09.13 14:35:00,2018.09.13 16:05:00,2018.09.13 15:50:00,0.00016257971206639304,0.0022882559032192953
2018.09.13 14:45:00,2018.09.13 15:40:00,2018.09.13 15:25:00,0.0001601757631768468,0.004463432823048836
2018.09.13 16:25:00,2018.09.13 17:10:00,2018.09.13 16:45:00,-4.129319176296633e-05,0.0012080009621895874
2018.09.13 16:30:00,2018.09.13 17:25:00,2018.09.13 16:55:00,-5.067274054377937e-05,0.002136845769313784
2018.09.13 16:35:00,2018.09.13 17:15:00,2018.09.13 16:50:00,-5.177356129554607e-05,0.0026768509992602923
2018.09.13 17:35:00,2018.09.13 18:10:00,2018.09.13 17:40:00,-1.2736927964099804e-05,0.000987215391121293
2018.09.13 17:40:00,2018.09.13 18:00:00,2018.09.13 17:50:00,-1.0577885448905043e-05,0.0006686407396574855
2018.09.13 18:50:00,2018.09.13 21:15:00,2018.09.13 20:35:00,8.313410546842419e-06,0.0013264773676586116
2018.09.14 06:50:00,2018.09.14 08:10:00,2018.09.14 07:45:00,3.020964166738977e-06,0.001017793860221775
2018.09.14 07:00:00,2018.09.14 08:25:00,2018.09.14 08:00:00,7.904266097082646e-06,0.0007226227938288358
2018.09.14 07:35:00,2018.09.14 08:15:00,2018.09.14 08:00:00,3.180526500624273e-05,0.0015411943283021284
2018.09.14 07:40:00,2018.09.14 08:15:00,2018.09.14 08:00:00,2.8217603635924517e-05,0.001473160501303579
2018.09.14 08:45:00,2018.09.14 10:00:00,2018.09.14 09:35:00,7.050027012303128e-05,0.0008550660018118693
2018.09.14 08:50:00,2018.09.14 10:05:00,2018.09.14 09:30:00,6.440351042850766e-05,0.0011020310829517564
2018.09.14 10:10:00,2018.09.14 11:20:00,2018.09.14 11:05:00,1.3197529826824724e-06,0.00168474380943931
2018.09.14 10:20:00,2018.09.14 11:35:00,2018.09.14 11:15:00,-7.1762939358462985e-06,0.0013836679320954842
2018.09.14 11:40:00,2018.09.14 12:30:00,2018.09.14 12:15:00,-4.583100008029871e-05,0.0011197308689183216
2018.09.14 11:50:00,2018.09.14 12:30:00,2018.09.14 12:00:00,-2.0660263194648335e-05,0.0009636961009698053
2018.09.14 11:55:00,2018.09.14 13:00:00,2018.09.14 12:35:00,-2.352699915491409e-05,0.0010092630758629976
2018.09.14 12:00:00,2018.09.14 13:05:00,2018.09.14 12:45:00,-2.403430262165421e-05,0.0007657425912044121
2018.09.14 12:05:00,2018.09.14 12:40:00,2018.09.14 12:25:00,-1.9268438054685695e-05,0.0006557002393929294
2018.09.14 12:10:00,2018.09.14 12:55:00,2018.09.14 12:40:00,-2.076178166203724e-05,0.0011343224576212795
2018.09.14 13:10:00,2018.09.14 14:30:00,2018.09.14 14:10:00,-3.0496966727319477e-05,0.0011586825651809993
2018.09.14 14:10:00,2018.09.14 15:15:00,2018.09.14 14:55:00,-0.00010812421882006138,0.0007219746005775561
2018.09.14 14:15:00,2018.09.14 15:20:00,2018.09.14 15:05:00,-0.00011774904302636077,0.0007211479543371387
2018.09.14 14:45:00,2018.09.14 15:10:00,2018.09.14 15:00:00,-0.00010760290232086617,0.0016105436623157267
2018.09.14 14:50:00,2018.09.14 15:10:00,2018.09.14 15:00:00,-0.00010999332114730222,0.0014460952739255724
2018.09.14 14:55:00,2018.09.14 15:20:00,2018.09.14 15:05:00,-0.00010244735749400542,0.001087829504948477
2018.09.14 15:00:00,2018.09.14 15:50:00,2018.09.14 15:25:00,-0.00010276725191457287,0.0017188601815272524
2018.09.14 15:45:00,2018.09.14 17:15:00,2018.09.14 16:45:00,-4.9862418697923844e-05,0.0011101047280481547
2018.09.14 15:50:00,2018.09.14 17:25:00,2018.09.14 16:55:00,-4.624819189263598e-05,0.00095862314334024
2018.09.14 15:55:00,2018.09.14 17:45:00,2018.09.14 17:25:00,-4.507970369146223e-05,0.0008781021316205977
2018.09.14 20:25:00,2018.09.14 21:30:00,2018.09.14 21:10:00,-6.354851077942033e-06,0.001397628387891895
2018.09.14 22:25:00,2018.09.14 23:10:00,2018.09.14 22:50:00,-5.437074568095103e-06,0.0007614037020288298
2018.09.14 23:55:00,2018.09.17 01:05:00,2018.09.17 00:50:00,2.0083222491695536e-07,0.0009424239823948778
2018.09.17 01:05:00,2018.09.17 01:35:00,2018.09.17 01:10:00,4.860487876970012e-06,0.000775866023548385
2018.09.17 01:15:00,2018.09.17 02:10:00,2018.09.17 01:40:00,8.323315497190539e-06,0.000884828538656837
2018.09.17 01:20:00,2018.09.17 02:15:00,2018.09.17 01:40:00,9.27140731115186e-06,0.0009138277288123305
2018.09.17 01:25:00,2018.09.17 02:35:00,2018.09.17 02:00:00,1.0599174595777666e-05,0.0009235569251663882
2018.09.17 01:30:00,2018.09.17 02:40:00,2018.09.17 02:00:00,1.3057770003775067e-05,0.0008604583300625094
2018.09.17 01:35:00,2018.09.17 02:55:00,2018.09.17 02:15:00,1.5278824974040014e-05,0.0008027466732806132
2018.09.17 03:50:00,2018.09.17 04:20:00,2018.09.17 04:05:00,1.1016591613945863e-05,0.0004800071299488174
2018.09.17 03:55:00,2018.09.17 04:30:00,2018.09.17 04:15:00,8.348362305830738e-06,0.000637102797177886
2018.09.17 04:00:00,2018.09.17 04:15:00,2018.09.17 04:05:00,1.1082014424810318e-05,0.000307406078489842
2018.09.17 04:05:00,2018.09.17 05:00:00,2018.09.17 04:40:00,1.4385613753915753e-05,0.00030281427426708863
2018.09.17 04:10:00,2018.09.17 05:05:00,2018.09.17 04:35:00,1.5130406536830395e-05,0.0004949852032261822
2018.09.17 04:45:00,2018.09.17 05:35:00,2018.09.17 05:25:00,1.1984454096687946e-05,0.0005641400906599109
2018.09.17 04:50:00,2018.09.17 06:10:00,2018.09.17 05:45:00,1.5796024255532156e-05,0.0006512845319856843
2018.09.17 04:55:00,2018.09.17 06:20:00,2018.09.17 05:50:00,1.5361269794228507e-05,0.0005136900217171649
2018.09.17 06:45:00,2018.09.17 07:50:00,2018.09.17 07:15:00,-3.774837491163012e-06,0.000519827325713522
2018.09.17 06:50:00,2018.09.17 07:55:00,2018.09.17 07:30:00,-6.4819897652037885e-06,0.00047410219533164063
2018.09.17 07:30:00,2018.09.17 08:50:00,2018.09.17 08:25:00,-1.8431691576433358e-05,0.0005326294857809194
2018.09.17 10:30:00,2018.09.17 11:40:00,2018.09.17 11:25:00,6.825416572264661e-05,0.0018804304935689704
2018.09.17 10:35:00,2018.09.17 11:50:00,2018.09.17 11:30:00,6.572343069254301e-05,0.0017795018783267253
2018.09.17 10:40:00,2018.09.17 12:00:00,2018.09.17 11:40:00,5.788722530171962e-05,0.0015718738997473989
2018.09.17 10:45:00,2018.09.17 12:10:00,2018.09.17 11:50:00,5.1268235013462424e-05,0.0017285076229999535
2018.09.17 11:35:00,2018.09.17 12:20:00,2018.09.17 12:00:00,3.006869260954286e-05,0.0015875527291192438
2018.09.17 11:40:00,2018.09.17 12:35:00,2018.09.17 12:10:00,2.7973053348297447e-05,0.0020513119784884197
2018.09.17 12:05:00,2018.09.17 14:30:00,2018.09.17 13:40:00,3.2551892013851456e-05,0.0005019376725329808
2018.09.17 12:15:00,2018.09.17 13:25:00,2018.09.17 13:00:00,3.80622705059387e-05,0.0018692766682084573
2018.09.17 13:35:00,2018.09.17 15:25:00,2018.09.17 14:55:00,5.9484352267590527e-05,0.0009923296406668838
2018.09.17 13:45:00,2018.09.17 15:50:00,2018.09.17 15:15:00,5.929086764026465e-05,0.0010310098367013476
2018.09.17 13:50:00,2018.09.17 16:00:00,2018.09.17 15:20:00,6.113351086197643e-05,0.001183680804566979
2018.09.17 14:00:00,2018.09.17 16:20:00,2018.09.17 15:40:00,6.570194080563255e-05,0.0010333987387291018
2018.09.17 14:05:00,2018.09.17 15:20:00,2018.09.17 14:55:00,9.369453599229327e-05,0.0011476567959790016
2018.09.17 14:10:00,2018.09.17 15:25:00,2018.09.17 15:00:00,9.33463592264482e-05,0.0013229255066157606
2018.09.17 14:15:00,2018.09.17 15:35:00,2018.09.17 15:10:00,9.161998462766134e-05,0.001602913850382208
2018.09.17 14:20:00,2018.09.17 15:40:00,2018.09.17 15:15:00,8.902133596562355e-05,0.0017386971196874546
2018.09.17 14:25:00,2018.09.17 15:45:00,2018.09.17 15:20:00,8.822794574716661e-05,0.0016763538686711073
2018.09.17 14:30:00,2018.09.17 16:05:00,2018.09.17 15:25:00,9.271315166095877e-05,0.0012350718086357013
2018.09.17 14:35:00,2018.09.17 15:55:00,2018.09.17 15:30:00,9.00921070206588e-05,0.001582547985433115
